"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2002";2165,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";2233,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";2356,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";2477,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";2617,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";2860,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";3135,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";3295,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";3412,37;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";3587,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";3709,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";3868,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";4042,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";4204,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";4385,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";4654,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";4942,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";5323,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";5693,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";6242,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";6945,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2023";7850,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";1953,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";2000,96;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";2087,30;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";2153,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";2268,87;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";2443,17;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";2691,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";2810,97;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";2910,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";3062,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";3182,31;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";3322,09;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";3439,06;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";3540,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";3672,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";3886,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";4139,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";4494,37;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";4831,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";5286,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";5888,55;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";6721,48;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2002";1941,01;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2003";1995,50;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2004";2096,15;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2005";2180,18;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2006";2290,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2007";2486,22;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2008";2771,99;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2009";2891,30;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2010";3099,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2011";3257,14;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2012";3382,66;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2013";3488,61;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2014";3605,03;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2015";3699,48;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2016";3815,95;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2017";4020,25;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2018";4260,71;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2019";4564,85;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2020";4914,95;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2021";5318,68;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2022";5909,60;"zł";"";
0600000;"LUBELSKIE";"ogółem";"2023";6774,52;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2002";1936,54;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2003";1990,13;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2004";2067,56;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2005";2144,35;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2006";2235,01;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2007";2429,97;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2008";2653,55;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2009";2802,77;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2010";2920,43;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2011";3073,95;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2012";3203,18;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2013";3282,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2014";3425,38;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2015";3567,60;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2016";3734,90;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2017";3950,95;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2018";4239,92;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2019";4559,96;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2020";4832,07;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2021";5286,50;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2022";6014,38;"zł";"";
0800000;"LUBUSKIE";"ogółem";"2023";6882,46;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2002";1966,22;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2003";2024,32;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2004";2123,36;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2005";2188,15;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2006";2287,90;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2007";2470,86;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2008";2740,58;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2009";2884,60;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2010";3066,02;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2011";3245,97;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2012";3383,30;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2013";3510,20;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2014";3618,63;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2015";3790,76;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2016";3925,10;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2017";4141,94;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";4441,29;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2019";4790,10;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2020";5148,38;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2021";5622,29;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2022";6210,68;"zł";"";
1000000;"ŁÓDZKIE";"ogółem";"2023";7052,93;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2002";2060,99;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2003";2109,69;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2004";2216,21;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2005";2303,42;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2006";2443,91;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2007";2666,24;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2008";2903,63;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2009";3057,71;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2010";3169,90;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2011";3332,98;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2012";3456,16;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2013";3574,22;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2014";3700,06;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2015";3906,96;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2016";4077,91;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2017";4347,10;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";4678,95;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2019";5098,26;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2020";5536,07;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2021";6046,95;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2022";6824,68;"zł";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2023";7736,56;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2002";2893,83;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2003";3005,37;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2004";3095,96;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2005";3227,04;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2006";3381,13;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2007";3670,84;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2008";4036,26;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2009";4179,63;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2010";4279,55;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2011";4504,66;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2012";4637,58;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2013";4773,41;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2014";4927,34;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";5098,55;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";5240,86;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";5523,65;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";5888,90;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2019";6248,47;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2020";6581,81;"zł";"";
1400000;"MAZOWIECKIE";"ogółem";"2021";7108,20;"zł";"";
